"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Tom Murphy",2600,"Col@Mil 07:20PM ET",0,"Col"
"1B","Trey Mancini",2600,"Was@Bal 07:05PM ET",0,"Bal"
"3B","Hector Olivera",2600,"ChC@SD 10:10PM ET",4.000,"SD"
"C","Gerald Laird",2500,"Atl@Ari 09:40PM ET",0,"Ari"
"C","Chris Stewart",2500,"Hou@Pit 07:05PM ET",4.226,"Pit"
"3B","Paul Janish",2500,"Was@Bal 07:05PM ET",2.429,"Bal"
"OF","Brandon Barnes",2500,"Col@Mil 07:20PM ET",2.854,"Col"
"OF","Desmond Jennings",2500,"Bos@TB 07:10PM ET",5.046,"TB"
"C","Eric Fryer",2500,"Hou@Pit 07:05PM ET",3.239,"Pit"
"OF","Julio Borbon",2500,"Was@Bal 07:05PM ET",1.600,"Bal"
"1B/OF","Dustin Ackley",2500,"NYY@Sea 10:10PM ET",2.172,"NYY"
"C","Christian Bethancourt",2500,"ChC@SD 10:10PM ET",4.333,"SD"
"OF","Stefen Romero",2500,"NYY@Sea 10:10PM ET",2.667,"Sea"
"C","Curt Casali",2500,"Bos@TB 07:10PM ET",3.915,"TB"
"C","Oscar Hernandez",2500,"Atl@Ari 09:40PM ET",8.500,"Ari"
"SS","Marcus Semien",2500,"Cle@Oak 10:05PM ET",7.008,"Oak"
"1B","Billy Butler",2400,"Cle@Oak 10:05PM ET",4.835,"Oak"
"OF","Mike Baxter",2400,"NYY@Sea 10:10PM ET",0,"Sea"
"C","Steve Clevenger",2400,"NYY@Sea 10:10PM ET",4.636,"Sea"
"2B/SS","Danny Worth",2400,"Hou@Pit 07:05PM ET",2.313,"Hou"
"C","Derek Norris",2400,"ChC@SD 10:10PM ET",5.402,"SD"
"C","Jesus Sucre",2400,"NYY@Sea 10:10PM ET",2.333,"Sea"
"OF","Bryce Brentz",2400,"Bos@TB 07:10PM ET",4.000,"Bos"
"SS","Alexei Ramirez",2400,"ChC@SD 10:10PM ET",5.000,"SD"
"1B","Yonder Alonso",2400,"Cle@Oak 10:05PM ET",5.050,"Oak"
